RoadName,Mean travel time index (AM),80th percentile travel time index (AM),"Mean Unit Delay (per vehicle, minutes)(AM)","85th percentile Unit Delay  (per vehicle, minutes)(AM)",Mean travel time index (Noon),80th percentile travel time index (Noon),"Mean Unit Delay (per vehicle, minutes)(Noon)","85th percentile Unit Delay  (per vehicle, minutes)(Noon)",Mean travel time index (PM),80th percentile travel time index (PM),"Mean Unit Delay (per vehicle, minutes)(PM)","85th percentile Unit Delay  (per vehicle, minutes)(PM)"
South Columbus Boulevard,1.02,1.15,0.06,0.27,0.95,1.03,0.04,0.09,0.93,1.01,0.04,0.08
South Country Club Road,0.92,1.02,0.16,0.83,0.91,1,0.12,0.61,0.93,1.04,0.25,1.03
South Craycroft Road,0.96,1.07,0.05,0.4,0.96,1.04,0.02,0.27,1,1.1,0.16,0.54
South Golf Links Road,0.88,0.93,0,0,0.88,0.91,0,0,0.88,0.93,0,0
South Grande Avenue,1.02,1.09,0.05,0.23,1.05,1.1,0.11,0.29,1.05,1.11,0.1,0.3
South Greasewood Road,0.96,1.09,0.05,0.34,1,1.13,0.07,0.38,0.97,1.07,0.05,0.28
South Harrison Road,1,1.11,0.14,0.63,0.98,1.05,0.15,0.34,1.01,1.07,0.22,0.43
South Houghton Road,1,1.1,0.55,2.07,0.98,1.06,0.33,1.31,0.98,1.06,0.5,1.45
South Kolb Road,1.04,1.15,0.43,1.43,1.01,1.08,0.28,0.84,1.06,1.15,0.61,1.4
South Midvale Park Road,0.98,1.06,0.05,0.19,0.96,1.04,0.05,0.16,0.98,1.06,0.08,0.24
South Mission Road,1.01,1.19,0.06,0.24,1.01,1.08,0.05,0.18,1.17,1.47,0.21,0.64
South Pantano Road,0.99,1.07,0.03,0.18,0.95,1.03,0,0.11,0.95,1.01,0.01,0.08
South Park Avenue,1.03,1.15,0.68,2.28,1.04,1.14,0.76,2.14,1.04,1.15,0.86,2.36
South Rita Road,0.93,1.12,0,0.49,0.94,1.05,0,0.26,0.95,1.13,0,0.61
South Swan Road,0.95,1.09,0.04,0.46,0.98,1.1,0.21,0.39,0.94,1.01,0.01,0.18
South Tucson Boulevard,0.98,1.06,0.04,0.48,0.97,1.04,0.06,0.36,0.97,1.05,0.05,0.39
South Wilmot Road,0.95,1.04,0.06,1.05,0.94,1.03,0.08,0.72,0.95,1.02,0.21,0.95
West 22nd Street,1.2,1.39,0.27,0.59,1.13,1.3,0.18,0.48,1.28,1.75,0.37,1.11
West 6th Street,1.04,1.19,0.04,0.26,1.04,1.14,0.04,0.16,1.07,1.19,0.08,0.21
West Ajo Way,1.24,1.67,0.69,2.13,1.09,1.19,0.28,0.78,1.43,1.71,1.62,2.96
West Broadway Boulevard,1.11,1.35,0.1,0.37,1.03,1.2,0.03,0.18,1.29,1.83,0.26,0.96
West Congress Street,1.12,1.29,0.36,0.96,1.08,1.18,0.26,0.61,1.13,1.29,0.41,0.95
West Drexel Road,0.93,1.06,0.01,0.14,0.94,1.04,0.02,0.1,0.97,1.08,0.03,0.15
West Fort Lowell Road,0.94,1.04,0,0.07,0.97,1.06,0,0.07,1,1.11,0.05,0.16
West Glenn Street,0.87,0.96,0.03,0.11,0.84,0.93,0.01,0.05,0.84,0.91,0.01,0.05
West Grant Road,1.06,1.23,0.54,1.78,1.05,1.19,0.42,1.37,1.19,1.43,1.13,2.63
West Irvington Road,1.04,1.17,0.11,0.41,1.14,1.27,0.31,0.63,1.33,1.68,0.71,1.68
West Limberlost Drive,0.94,1,0,0,0.78,0.94,0,0,0.83,0.94,0,0
West Prince Road,1.07,1.23,0.31,1.2,1.04,1.16,0.24,0.85,1.12,1.28,0.52,1.36
West River Road,0.94,0.99,0,0,0.96,1.01,0,0.01,0.95,1,0,0.01
West Roger Road,0.96,1.09,0.07,0.39,0.94,1.05,0.05,0.28,0.97,1.11,0.11,0.49
West Saint Mary's Road,0.99,1.09,0.05,0.37,1.01,1.1,0.12,0.41,1.06,1.15,0.25,0.58
West Silverlake Road,0.95,1.03,0.02,0.12,0.96,1.02,0.02,0.1,0.96,1.03,0.01,0.12
West Speedway Boulevard,1.09,1.23,0.68,1.84,1.07,1.16,0.58,1.32,1.22,1.39,1.52,2.94
West Starr Pass Boulevard,1.03,1.12,0.22,0.65,0.99,1.06,0.08,0.39,1.01,1.09,0.15,0.54
West University Boulevard,0.77,0.88,0,0.02,0.82,0.9,0,0.08,0.83,0.87,0,0.02
West Valencia Road,1.08,1.26,0.19,0.58,1.12,1.25,0.28,0.55,1.34,1.64,0.82,1.77
West Wetmore Road,0.96,1.05,0.03,0.15,1,1.08,0.04,0.21,1.04,1.14,0.1,0.33
